"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: nbUncFuses","Param: subName"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.131598,0.002419,"ms/op",1,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.053047,0.000201,"ms/op",1,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.249384,0.004320,"ms/op",2,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.052660,0.000422,"ms/op",2,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.448529,0.005342,"ms/op",3,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.051947,0.000758,"ms/op",3,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.798417,0.003453,"ms/op",4,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.051891,0.000786,"ms/op",4,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,1.372733,0.005201,"ms/op",5,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.098034,0.004949,"ms/op",5,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,1.648494,0.010370,"ms/op",6,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.153383,0.002287,"ms/op",6,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,3.100480,0.119541,"ms/op",7,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.262259,0.001126,"ms/op",7,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,5.811157,0.205833,"ms/op",8,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.454816,0.003005,"ms/op",8,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,9.615397,0.103483,"ms/op",9,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,0.835050,0.006825,"ms/op",9,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,17.367484,0.108370,"ms/op",10,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,1.349760,0.009163,"ms/op",10,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,31.878888,0.195449,"ms/op",11,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,2.433719,0.021963,"ms/op",11,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,43.138921,0.470240,"ms/op",12,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,4.623105,0.040384,"ms/op",12,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,68.163441,0.511959,"ms/op",13,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,8.640529,0.130749,"ms/op",13,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,68.699455,0.555300,"ms/op",14,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,14.762772,0.107572,"ms/op",14,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,125.878456,1.317288,"ms/op",15,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,28.292599,0.196535,"ms/op",15,"Substation 3"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,236.059402,3.429816,"ms/op",16,"Substation 2"
"duc.propagation.bench.RC3Sub23Uncertain.ucLoadApprox","avgt",8,50,50.450173,0.561661,"ms/op",16,"Substation 3"
